sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,16,,良好,0.7,0.08,17,17,4,4,1,2,0.9,2.6,105,"2025/09/15 14:00:00",0.1,2.6,6,1,121.760056,25.129167,1
汐止,新北市,25,,良好,0.4,0.08,16,20,4,2,3,4.8,1.6,2.1,148,"2025/09/15 14:00:00",0.1,6.2,10,0,121.64081,25.06624,2
新店,新北市,20,,良好,0.6,0.07,17,22,8,1,2,4.1,1.6,4.8,135,"2025/09/15 14:00:00",0.1,4.7,12,0,121.537778,24.977222,4
土城,新北市,43,,良好,0.5,0.12,21,25,12,8,4,7.6,2.9,2.3,134,"2025/09/15 14:00:00",0.2,10.7,17,0,121.451861,24.982528,5
板橋,新北市,31,,良好,0.6,0.16,20,27,9,2,5,8.9,3.3,2.6,53,"2025/09/15 14:00:00",0.3,7.6,13,1,121.458667,25.012972,6
新莊,新北市,47,,良好,0.5,0.07,20,27,29,2,3,5.5,1.7,5.6,77,"2025/09/15 14:00:00",0.2,9.1,28,1,121.4325,25.037972,7
菜寮,新北市,29,,良好,0.7,0.12,16,25,,0,5,7.8,2.8,4.5,102,"2025/09/15 14:00:00",0.2,7.2,17,0,121.481028,25.06895,8
林口,新北市,50,,良好,1.5,0.13,36,37,10,7,4,6,1.6,2,111,"2025/09/15 14:00:00",0.1,12.4,15,1,121.36548982,25.07798949,9
淡水,新北市,47,,良好,1,0.09,16,28,73,9,4,6.9,2.7,,,"2025/09/15 14:00:00",0.2,9.8,28,1,121.449239,25.1645,10
士林,臺北市,25,,良好,0.3,0.08,,,13,0,,,,4.3,152,"2025/09/15 14:00:00",0.2,6.1,14,0,121.51666356,25.10334003,11
中山,臺北市,32,,良好,0.7,0.12,13,19,32,2,6,11.8,5.7,4.5,135,"2025/09/15 14:00:00",0.2,8,18,0,121.526528,25.062361,12
萬華,臺北市,31,,良好,0.8,0.13,14,19,7,3,6,11.1,4.8,2.7,84,"2025/09/15 14:00:00",0.2,7.7,15,0,121.507972,25.046503,13
古亭,臺北市,22,,良好,1,0.07,16,21,5,2,2,5,2.3,3,108,"2025/09/15 14:00:00",0.1,4.7,13,1,121.529556,25.020608,14
松山,臺北市,27,,良好,0.4,0.1,14,21,6,3,5,10,4.9,1.8,22,"2025/09/15 14:00:00",0.1,6.7,13,0,121.578611,25.05,15
大同,臺北市,39,,良好,0.7,0.38,8,10,14,4,10,32.7,22.2,-,-,"2025/09/15 14:00:00",0.9,9.6,16,0,121.51342074,25.06331455,16
桃園,桃園市,31,,良好,0.9,0.18,42,33,13,5,6,7.7,1.5,2.4,349,"2025/09/15 14:00:00",0.2,7.7,18,0,121.30500531,24.9947107,17
大園,桃園市,36,,良好,0.6,0.13,35,30,16,5,3,4.9,1.5,5.9,354,"2025/09/15 14:00:00",0.1,8.9,19,0,121.20251473,25.06100357,18
觀音,桃園市,41,,良好,0.4,0.08,35,26,11,3,2,2.9,0.4,4.4,40,"2025/09/15 14:00:00",0.1,10.2,13,0,121.08283092,25.03556747,19
平鎮,桃園市,44,,良好,0.3,0.15,36,27,12,8,6,7.8,1.2,1.3,305,"2025/09/15 14:00:00",0.2,10.9,15,0,121.203986,24.952786,20
龍潭,桃園市,58,細懸浮微粒,普通,2.1,0.14,46,37,18,13,6,7.2,0.5,3.3,337,"2025/09/15 14:00:00",0.2,15,22,1,121.21645772,24.86400048,21
湖口,新竹縣,36,,良好,1,0.11,44,33,15,5,2,3.1,0.4,3.5,8,"2025/09/15 14:00:00",0.1,9,17,0,121.03886894,24.90009696,22
竹東,新竹縣,52,細懸浮微粒,普通,0.6,0.14,49,33,22,12,5,6.4,1,1.3,9,"2025/09/15 14:00:00",0.1,13,22,0,121.08895493,24.74091408,23
新竹,新竹市,37,,良好,1.6,0.15,50,29,16,12,5,5.9,0.5,1.6,39,"2025/09/15 14:00:00",0.2,9.1,18,1,120.97236752,24.8056356,24
