sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,32,,良好,0.5,0.07,12,11,18,5,1,2.5,0.8,3.4,86,"2025/09/22 13:00:00",0,4.5,19,0,121.760056,25.129167,1
汐止,新北市,20,,良好,0,0.08,9,8,8,5,5,10.5,4.9,2.1,32,"2025/09/22 13:00:00",0,4.7,12,0,121.64081,25.06624,2
新店,新北市,20,,良好,0.7,0.1,13,10,8,3,4,8.1,3.9,3.1,117,"2025/09/22 13:00:00",0.1,2.9,12,0,121.537778,24.977222,4
土城,新北市,21,,良好,,0.14,8,7,12,5,4,7.9,3.2,1.9,147,"2025/09/22 13:00:00",0.1,5.2,10,0,121.451861,24.982528,5
板橋,新北市,18,,良好,2.5,0.18,16,12,10,2,5,10.6,4.7,3.4,38,"2025/09/22 13:00:00",0.1,1.4,11,1,121.458667,25.012972,6
新莊,新北市,25,,良好,0.2,0.11,12,9,11,5,5,9.7,4.1,7.6,64,"2025/09/22 13:00:00",0.1,4.1,15,0,121.4325,25.037972,7
菜寮,新北市,27,,良好,0.6,0.15,12,9,12,1,5,10.6,5.2,3.8,85,"2025/09/22 13:00:00",0.1,2.5,16,0,121.481028,25.06895,8
林口,新北市,17,,良好,0,0.11,13,10,7,5,5,10.1,4.9,4.4,76,"2025/09/22 13:00:00",0.1,4,10,0,121.36548982,25.07798949,9
淡水,新北市,22,,良好,0.4,0.53,12,8,11,6,5,17,11.3,,,"2025/09/22 13:00:00",0.3,3.1,13,0,121.449239,25.1645,10
士林,臺北市,17,,良好,0.4,0.09,17,10,13,,2,4.8,2.1,2.1,136,"2025/09/22 13:00:00",0,2.8,10,0,121.51666356,25.10334003,11
中山,臺北市,30,,良好,0.4,0.21,7,6,7,9,7,18.4,10.5,3.3,105,"2025/09/22 13:00:00",0.2,7.4,13,0,121.526528,25.062361,12
萬華,臺北市,23,,良好,0.4,0.15,9,6,11,2,7,14.3,6.6,3.3,97,"2025/09/22 13:00:00",0.1,3.1,14,0,121.507972,25.046503,13
古亭,臺北市,17,,良好,0.9,0.08,11,8,11,2,4,9.4,4.6,2,54,"2025/09/22 13:00:00",0,1.4,10,0,121.529556,25.020608,14
松山,臺北市,21,,良好,0.2,0.12,9,6,8,5,6,14.9,8.2,3.2,54,"2025/09/22 13:00:00",0.1,5.2,12,0,121.578611,25.05,15
大同,臺北市,45,,良好,,,8,5,7,10,,,,-,-,"2025/09/22 13:00:00",0.4,11.1,17,0,121.51342074,25.06331455,16
桃園,桃園市,18,,良好,0.3,0.15,13,9,13,2,6,9.7,3.4,4.8,58,"2025/09/22 13:00:00",0.1,2.7,11,0,121.30500531,24.9947107,17
大園,桃園市,23,,良好,0.6,0.1,13,8,6,8,5,10,4.6,6.5,66,"2025/09/22 13:00:00",0.1,3.2,14,0,121.20251473,25.06100357,18
觀音,桃園市,27,,良好,1,0.1,,7,,0,,,,7.6,87,"2025/09/22 13:00:00",0.1,2,16,1,121.08283092,25.03556747,19
平鎮,桃園市,20,,良好,0,0.17,14,10,12,0,5,10.7,5.5,4.4,83,"2025/09/22 13:00:00",0.1,2.4,12,0,121.203986,24.952786,20
龍潭,桃園市,18,,良好,1.2,0.09,14,10,14,3,3,6.7,3.2,7.4,63,"2025/09/22 13:00:00",0.1,3.6,11,1,121.21645772,24.86400048,21
湖口,新竹縣,30,,良好,0.6,0.09,16,11,17,2,4,5.8,1.8,8.5,53,"2025/09/22 13:00:00",0.1,2.6,18,0,121.03886894,24.90009696,22
